version,M,K,N,P,run,t_overall,t_work,t_io_in,t_io_out
openmp,512,512,512,1,3,0.045297,0.043191,0.002076,0.000020
openmp,512,512,512,2,1,0.024197,0.021993,0.002176,0.000017
openmp,512,512,512,2,2,0.024143,0.022004,0.002111,0.000017
openmp,512,512,512,2,3,0.024657,0.022037,0.002585,0.000021
openmp,512,512,512,4,1,0.013986,0.011670,0.002287,0.000016
openmp,512,512,512,4,2,0.013894,0.011612,0.002251,0.000019
openmp,512,512,512,4,3,0.014039,0.011810,0.002197,0.000020
openmp,512,512,512,8,1,0.008915,0.006778,0.002108,0.000018
openmp,512,512,512,8,2,0.009138,0.006996,0.002114,0.000019
openmp,512,512,512,8,3,0.008813,0.006594,0.002193,0.000017
openmp,512,512,512,16,1,0.006493,0.004326,0.002139,0.000019
openmp,512,512,512,16,2,0.006505,0.004285,0.002191,0.000020
openmp,512,512,512,16,3,0.006410,0.004232,0.002146,0.000024
openmp,512,512,512,32,1,0.005851,0.003638,0.002186,0.000016
openmp,512,512,512,32,2,0.005815,0.003503,0.002287,0.000018
openmp,512,512,512,32,3,0.005801,0.003526,0.002248,0.000019
openmp,512,512,512,64,1,0.007497,0.005234,0.002232,0.000021
openmp,512,512,512,64,2,0.007786,0.005231,0.002528,0.000019
openmp,512,512,512,64,3,0.007791,0.005245,0.002516,0.000021
openmp,512,512,512,128,1,0.015159,0.012625,0.002500,0.000024
openmp,512,512,512,128,2,0.014946,0.012282,0.002633,0.000022
openmp,512,512,512,128,3,0.015054,0.012287,0.002734,0.000025
serial,1024,1024,1024,1,1,0.187735,0.177218,0.010448,0.000042
serial,1024,1024,1024,1,2,0.183829,0.177172,0.006562,0.000061
serial,1024,1024,1024,1,3,0.181354,0.176850,0.004434,0.000041
pthreads,1024,1024,1024,1,1,0.261141,0.255682,0.005343,0.000025
pthreads,1024,1024,1024,1,2,0.262256,0.255485,0.006627,0.000032
pthreads,1024,1024,1024,1,3,0.259911,0.255136,0.004652,0.000021
pthreads,1024,1024,1024,2,1,0.138715,0.131891,0.006641,0.000032
pthreads,1024,1024,1024,2,2,0.137626,0.131974,0.005477,0.000025
pthreads,1024,1024,1024,2,3,0.140458,0.132472,0.007786,0.000032
pthreads,1024,1024,1024,4,1,0.077427,0.068907,0.008196,0.000032
pthreads,1024,1024,1024,4,2,0.075012,0.069511,0.005156,0.000030
pthreads,1024,1024,1024,4,3,0.075287,0.069057,0.005905,0.000040
pthreads,1024,1024,1024,8,1,0.046359,0.037976,0.007791,0.000024
pthreads,1024,1024,1024,8,2,0.046010,0.038647,0.006788,0.000032
pthreads,1024,1024,1024,8,3,0.046592,0.038456,0.007504,0.000027
pthreads,1024,1024,1024,16,1,0.033481,0.025125,0.007270,0.000038
pthreads,1024,1024,1024,16,2,0.031820,0.026099,0.004400,0.000029
pthreads,1024,1024,1024,16,3,0.034773,0.025753,0.007883,0.000038
pthreads,1024,1024,1024,32,1,0.032575,0.020817,0.007215,0.000031
pthreads,1024,1024,1024,32,2,0.033970,0.022784,0.007734,0.000036
pthreads,1024,1024,1024,32,3,0.033586,0.021974,0.007436,0.000029
pthreads,1024,1024,1024,64,1,0.029190,0.006439,0.007837,0.000035
pthreads,1024,1024,1024,64,2,0.029424,0.006472,0.007575,0.000029
pthreads,1024,1024,1024,64,3,0.029309,0.006525,0.007680,0.000034
pthreads,1024,1024,1024,128,1,0.034300,0.003141,0.007309,0.000029
